EventName,Country,Location,Year,StartTime,lat,lon,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,surface_pressure,wind_speed_10m,wind_gusts_10m,wind_direction_10m,condition,is_wet,track_air_delta
Australian Grand Prix,Australia,Melbourne,2018,2018-03-25 05:10:00+00:00,-37.846,144.97,23.4,18.8,35,7.0,0.0,0.0,0.0,0.0,3,82,998.4,28.3,51.5,296,Overcast,False,
Bahrain Grand Prix,Bahrain,Sakhir,2018,2018-04-08 15:10:00+00:00,26.031,50.512,27.4,26.3,43,13.7,0.0,0.0,0.0,0.0,2,68,1008.5,15.3,27.4,49,Partly cloudy,False,
Chinese Grand Prix,China,Shanghai,2018,2018-04-15 06:10:00+00:00,31.34,121.221,18.3,15.6,32,1.5,0.0,0.0,0.0,0.0,0,7,1018.5,14.6,33.5,350,Clear sky,False,
Azerbaijan Grand Prix,Azerbaijan,Baku,2018,2018-04-29 12:10:00+00:00,40.369,49.842,15.6,8.8,58,7.4,0.0,0.0,0.0,0.0,3,87,1022.1,41.8,71.3,2,Overcast,False,
Spanish Grand Prix,Spain,Barcelona,2018,2018-05-13 13:10:00+00:00,41.569,2.259,14.9,13.0,62,7.8,2.6,2.6,0.0,0.0,63,80,1000.8,17.3,40.3,168,Moderate rain,True,
Monaco Grand Prix,Monaco,Monaco,2018,2018-05-27 13:10:00+00:00,43.737,7.429,25.4,26.9,71,19.7,0.3,0.3,0.0,0.0,51,97,1016.0,16.5,55.4,79,Light drizzle,True,
Canadian Grand Prix,Canada,Montréal,2018,2018-06-10 18:10:00+00:00,45.506,-73.525,19.0,19.2,37,4.2,0.0,0.0,0.0,0.0,3,85,1017.9,5.8,22.3,7,Overcast,False,
French Grand Prix,France,Le Castellet,2018,2018-06-24 14:10:00+00:00,43.253,5.791,22.1,21.9,54,12.4,0.0,0.0,0.0,0.0,3,84,967.5,6.6,19.8,151,Overcast,False,
Austrian Grand Prix,Austria,Spielberg,2018,2018-07-01 13:10:00+00:00,47.223,14.761,18.4,17.9,60,10.6,0.0,0.0,0.0,0.0,1,23,935.6,8.7,35.6,114,Mainly clear,False,
British Grand Prix,Great Britain,Silverstone,2018,2018-07-08 13:10:00+00:00,52.072,-1.017,27.4,27.8,39,12.1,0.0,0.0,0.0,0.0,1,29,1008.3,12.8,29.5,349,Mainly clear,False,
German Grand Prix,Germany,Hockenheim,2018,2018-07-22 13:10:00+00:00,49.33,8.572,23.2,23.7,69,17.4,1.5,1.5,0.0,0.0,61,72,1002.0,14.6,33.5,308,Slight rain,True,
Hungarian Grand Prix,Hungary,Budapest,2018,2018-07-29 13:10:00+00:00,47.583,19.25,33.4,35.0,36,16.5,0.0,0.0,0.0,0.0,1,37,986.5,10.7,27.0,318,Mainly clear,False,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2018,2018-08-26 13:10:00+00:00,50.436,5.971,16.8,13.3,46,5.2,0.0,0.0,0.0,0.0,3,96,971.5,16.0,33.5,211,Overcast,False,
Italian Grand Prix,Italy,Monza,2018,2018-09-02 13:10:00+00:00,45.621,9.29,19.8,21.2,77,15.7,0.1,0.1,0.0,0.0,51,99,994.9,3.3,12.2,13,Light drizzle,False,
Singapore Grand Prix,Singapore,Singapore,2018,2018-09-16 12:10:00+00:00,1.291,103.859,28.1,29.9,66,21.2,0.0,0.0,0.0,0.0,1,41,1005.6,18.1,20.5,185,Mainly clear,False,
Russian Grand Prix,Russia,Sochi,2018,2018-09-30 11:10:00+00:00,43.407,39.96,22.9,23.3,66,16.2,0.0,0.0,0.0,0.0,2,73,1017.0,11.6,31.0,330,Partly cloudy,False,
Japanese Grand Prix,Japan,Suzuka,2018,2018-10-07 05:10:00+00:00,34.844,136.534,26.2,26.7,58,17.2,0.0,0.0,0.0,0.0,0,2,1005.6,17.8,36.7,312,Clear sky,False,
United States Grand Prix,United States,Austin,2018,2018-10-21 18:10:00+00:00,30.135,-97.633,20.0,18.0,48,8.7,0.0,0.0,0.0,0.0,1,32,1005.8,17.9,33.5,40,Mainly clear,False,
Mexican Grand Prix,Mexico,Mexico City,2018,2018-10-28 19:10:00+00:00,19.402,-99.091,19.9,19.8,51,9.4,0.0,0.0,0.0,0.0,3,92,789.2,2.3,11.5,231,Overcast,False,
Brazilian Grand Prix,Brazil,São Paulo,2018,2018-11-11 17:10:00+00:00,-23.702,-46.698,23.5,25.1,79,19.6,0.3,0.3,0.0,0.0,51,64,928.9,16.8,31.7,149,Light drizzle,True,
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2018,2018-11-25 13:10:00+00:00,24.471,54.601,32.4,32.1,38,16.4,0.0,0.0,0.0,0.0,1,36,1012.3,17.2,33.8,206,Mainly clear,False,
Australian Grand Prix,Australia,Melbourne,2019,2019-03-17 05:10:00+00:00,-37.846,144.97,24.4,24.5,53,14.1,0.0,0.0,0.0,0.0,0,1,1015.4,13.8,31.7,200,Clear sky,False,
Bahrain Grand Prix,Bahrain,Sakhir,2019,2019-03-31 15:10:00+00:00,26.031,50.512,25.9,23.0,54,15.9,0.0,0.0,0.0,0.0,3,100,1003.3,33.9,51.1,93,Overcast,False,
Chinese Grand Prix,China,Shanghai,2019,2019-04-14 06:10:00+00:00,31.34,121.221,18.7,15.6,53,9.1,0.0,0.0,0.0,0.0,3,100,1018.5,19.8,41.0,19,Overcast,False,
Azerbaijan Grand Prix,Azerbaijan,Baku,2019,2019-04-28 12:10:00+00:00,40.369,49.842,17.3,15.4,72,12.2,0.0,0.0,0.0,0.0,0,0,1013.0,20.6,43.6,192,Clear sky,False,
Spanish Grand Prix,Spain,Barcelona,2019,2019-05-12 13:10:00+00:00,41.569,2.259,18.6,17.4,61,10.9,0.0,0.0,0.0,0.0,0,7,1006.6,22.3,46.4,149,Clear sky,False,
Monaco Grand Prix,Monaco,Monaco,2019,2019-05-26 13:10:00+00:00,43.737,7.429,20.0,21.0,74,15.1,0.4,0.4,0.0,0.0,51,100,1011.1,4.8,31.3,243,Light drizzle,True,
Canadian Grand Prix,Canada,Montréal,2019,2019-06-09 18:10:00+00:00,45.506,-73.525,26.0,25.1,29,6.8,0.0,0.0,0.0,0.0,3,88,1022.6,14.1,31.0,183,Overcast,False,
French Grand Prix,France,Le Castellet,2019,2019-06-23 13:10:00+00:00,43.253,5.791,27.8,28.7,37,11.8,0.0,0.0,0.0,0.0,1,37,967.6,11.8,34.2,247,Mainly clear,False,
Austrian Grand Prix,Austria,Spielberg,2019,2019-06-30 13:10:00+00:00,47.223,14.761,33.7,32.9,16,4.2,0.0,0.0,0.0,0.0,0,14,941.4,8.6,29.2,182,Clear sky,False,
British Grand Prix,Great Britain,Silverstone,2019,2019-07-14 13:10:00+00:00,52.072,-1.017,18.2,17.1,66,11.7,0.2,0.2,0.0,0.0,51,93,1005.9,11.8,25.6,38,Light drizzle,True,
German Grand Prix,Germany,Hockenheim,2019,2019-07-28 13:10:00+00:00,49.33,8.572,24.0,25.9,72,18.5,0.1,0.1,0.0,0.0,51,96,990.4,8.3,22.7,265,Light drizzle,False,
Hungarian Grand Prix,Hungary,Budapest,2019,2019-08-04 13:10:00+00:00,47.583,19.25,22.8,23.5,53,12.8,0.0,0.0,0.0,0.0,1,33,989.2,2.9,19.4,240,Mainly clear,False,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2019,2019-09-01 13:10:00+00:00,50.436,5.971,16.4,14.3,68,10.5,0.1,0.1,0.0,0.0,51,95,972.3,15.4,33.1,303,Light drizzle,False,
Italian Grand Prix,Italy,Monza,2019,2019-09-08 13:10:00+00:00,45.621,9.29,19.2,19.1,59,11.1,0.1,0.1,0.0,0.0,51,28,988.8,5.4,20.2,94,Light drizzle,False,
Singapore Grand Prix,Singapore,Singapore,2019,2019-09-22 12:10:00+00:00,1.291,103.859,28.1,31.1,82,24.6,0.0,0.0,0.0,0.0,1,41,1008.1,23.9,31.3,124,Mainly clear,False,
Russian Grand Prix,Russia,Sochi,2019,2019-09-29 11:10:00+00:00,43.407,39.96,19.9,20.9,80,16.3,0.3,0.3,0.0,0.0,51,44,1017.1,8.3,27.7,182,Light drizzle,True,
Japanese Grand Prix,Japan,Suzuka,2019,2019-10-13 05:10:00+00:00,34.844,136.534,21.7,19.3,61,13.9,0.0,0.0,0.0,0.0,0,0,1006.9,27.5,58.0,302,Clear sky,False,
Mexican Grand Prix,Mexico,Mexico City,2019,2019-10-27 19:10:00+00:00,19.402,-99.091,21.0,23.3,69,15.1,0.2,0.2,0.0,0.0,51,73,786.2,4.6,19.1,231,Light drizzle,True,
United States Grand Prix,United States,Austin,2019,2019-11-03 19:10:00+00:00,30.135,-97.633,19.2,16.2,34,3.1,0.0,0.0,0.0,0.0,1,35,1002.2,16.2,31.3,167,Mainly clear,False,
Brazilian Grand Prix,Brazil,São Paulo,2019,2019-11-17 17:10:00+00:00,-23.702,-46.698,19.1,17.7,71,13.7,0.0,0.0,0.0,0.0,0,10,929.3,26.3,48.6,155,Clear sky,False,
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2019,2019-12-01 13:10:00+00:00,24.471,54.601,25.8,25.8,61,17.8,0.0,0.0,0.0,0.0,0,10,1014.4,18.7,32.0,326,Clear sky,False,
