Driver,DriverNumber,Team,RacesEntered,RacesCompleted,DNFCount,DNFRate,AvgGridPosition,AvgFinishPosition,AvgPositionsGained,RacesWithGains,RacesWithLosses,Podiums,Poles,Wins,TotalLapsLed,AvgPositionConsistency
HAM,44,Mercedes,168,161,7,0.041666666666666664,5.25,4.255952380952381,0.9940476190476191,72,39,88,28,40,1919,1.2830495636040384
VER,33,Red Bull Racing,166,154,12,0.07228915662650602,3.6987951807228914,3.0421686746987953,0.6566265060240963,66,31,119,57,70,3726,1.0935604944940862
GAS,10,Racing Bulls,166,147,19,0.1144578313253012,11.27710843373494,11.018072289156626,0.25903614457831325,75,67,5,0,2,27,1.9439243860655242
STR,18,Williams,164,145,19,0.11585365853658537,12.567073170731707,11.585365853658537,0.9817073170731707,81,54,3,1,0,32,1.9514312184885525
SAI,55,Alpine,164,147,17,0.10365853658536585,7.774390243902439,7.4817073170731705,0.2926829268292683,69,61,27,4,4,300,1.5960639874903335
LEC,16,Kick Sauber,164,145,19,0.11585365853658537,5.920731707317073,6.091463414634147,-0.17073170731707318,50,70,51,20,9,878,1.5630585344960217
NOR,4,McLaren,152,139,13,0.08552631578947369,7.006578947368421,6.6381578947368425,0.3684210526315789,68,47,45,10,11,705,1.4813817429446066
RUS,63,Williams,151,135,16,0.10596026490066225,9.37748344370861,8.947019867549669,0.4304635761589404,77,49,25,12,6,464,1.5044265679082978
BOT,77,Mercedes,147,129,18,0.12244897959183673,9.156462585034014,8.45578231292517,0.7006802721088435,65,46,46,14,8,483,1.4133038572590244
OCO,31,Aston Martin,145,127,18,0.12413793103448276,11.489655172413793,10.558620689655172,0.9310344827586207,80,44,6,0,2,81,1.845498027037904
PER,11,Aston Martin,143,130,13,0.09090909090909091,9.293706293706293,7.146853146853147,2.1468531468531467,83,28,39,5,7,390,1.7512420477049675
ALO,14,McLaren,133,113,20,0.15037593984962405,9.473684210526315,9.466165413533835,0.007518796992481203,53,55,9,1,0,6,1.7718187373085985
RIC,3,Red Bull Racing,125,109,16,0.128,10.336,9.44,0.896,64,42,6,2,3,164,1.8343083636624518
ALB,23,Racing Bulls,123,108,15,0.12195121951219512,12.097560975609756,11.073170731707316,1.024390243902439,72,39,1,0,0,2,2.0053960346076436
MAG,20,Haas,121,102,19,0.15702479338842976,12.40495867768595,13.24793388429752,-0.8429752066115702,44,58,1,0,0,0,1.9993056615697669
HUL,27,Alpine,111,98,13,0.11711711711711711,11.765765765765765,11.36036036036036,0.40540540540540543,57,45,2,0,0,0,2.005560632322942
TSU,22,Racing Bulls,108,96,12,0.1111111111111111,12.472222222222221,12.824074074074074,-0.35185185185185186,49,50,0,0,0,5,1.953852136062958
VET,5,Ferrari,99,88,11,0.1111111111111111,8.656565656565656,8.090909090909092,0.5656565656565656,43,33,26,10,8,512,1.7330628479308214
RAI,7,Ferrari,78,70,8,0.10256410256410256,11.397435897435898,10.282051282051283,1.1153846153846154,48,17,12,1,1,64,1.7590266832366004
PIA,81,McLaren,68,66,2,0.029411764705882353,5.882352941176471,6.029411764705882,-0.14705882352941177,23,21,26,7,9,576,1.4089242040799939
ZHO,24,Kick Sauber,67,57,10,0.14925373134328357,16.029850746268657,14.626865671641792,1.4029850746268657,42,16,0,0,0,0,1.8935520096252272
LAT,6,Williams,60,44,16,0.26666666666666666,16.716666666666665,15.633333333333333,1.0833333333333333,37,15,0,0,0,0,1.3289185552890033
GIO,99,Kick Sauber,60,55,5,0.08333333333333333,13.533333333333333,13.333333333333334,0.2,25,21,0,0,0,4,1.6908671398932158
GRO,8,Haas,53,41,12,0.22641509433962265,13.471698113207546,13.056603773584905,0.41509433962264153,23,21,0,0,0,0,1.8720287168739234
MSC,47,Haas,42,36,6,0.14285714285714285,14.976190476190476,15.214285714285714,-0.23809523809523808,16,15,0,0,0,0,1.4770241350407602
KVY,26,Racing Bulls,38,35,3,0.07894736842105263,12.973684210526315,10.605263157894736,2.3684210526315788,25,5,1,0,0,0,1.9633994555520722
SAR,2,Williams,36,29,7,0.19444444444444445,16.25,16.194444444444443,0.05555555555555555,18,14,0,0,0,0,1.5886973896970145
LAW,40,Racing Bulls,34,30,4,0.11764705882352941,12.176470588235293,12.617647058823529,-0.4411764705882353,16,14,0,0,0,0,2.116381292092807
BEA,38,Ferrari,27,24,3,0.1111111111111111,12.925925925925926,11.296296296296296,1.6296296296296295,19,5,0,0,0,0,2.1454147954266443
COL,43,Williams,25,23,2,0.08,15.48,15.08,0.4,11,10,0,0,0,0,1.8106036582520773
ANT,12,Mercedes,23,19,4,0.17391304347826086,8.652173913043478,8.130434782608695,0.5217391304347826,10,8,2,0,0,11,2.124239212862316
HAD,6,Racing Bulls,23,22,1,0.043478260869565216,10.173913043478262,11.826086956521738,-1.6521739130434783,7,12,1,0,0,0,2.0110091702756825
BOR,5,Kick Sauber,23,19,4,0.17391304347826086,14.391304347826088,14.217391304347826,0.17391304347826086,9,6,0,0,0,0,1.5557708928323477
KUB,88,Williams,23,17,6,0.2608695652173913,17.391304347826086,17.0,0.391304347826087,10,8,0,0,0,0,1.1095861969769916
VAN,2,McLaren,20,17,3,0.15,16.1,12.6,3.5,16,2,0,0,0,0,1.8021346420361837
MAZ,9,Haas,20,12,8,0.4,17.5,17.5,0.0,10,8,0,0,0,0,1.038781114007794
ERI,9,Kick Sauber,20,16,4,0.2,14.6,12.5,2.1,14,5,0,0,0,0,1.8567064155454234
HAR,28,Racing Bulls,19,14,5,0.2631578947368421,15.578947368421053,14.0,1.5789473684210527,9,8,0,0,0,0,1.8096415288349463
