EventName,Country,Location,StartTime,Year,lon,lat
Australian Grand Prix,Australia,Melbourne,2018-03-25 05:10:00,2018,144.97,-37.846
Bahrain Grand Prix,Bahrain,Sakhir,2018-04-08 15:10:00,2018,50.512,26.031
Chinese Grand Prix,China,Shanghai,2018-04-15 06:10:00,2018,121.221,31.34
Azerbaijan Grand Prix,Azerbaijan,Baku,2018-04-29 12:10:00,2018,49.842,40.369
Spanish Grand Prix,Spain,Barcelona,2018-05-13 13:10:00,2018,2.259,41.569
Monaco Grand Prix,Monaco,Monaco,2018-05-27 13:10:00,2018,7.429,43.737
Canadian Grand Prix,Canada,Montréal,2018-06-10 18:10:00,2018,-73.525,45.506
French Grand Prix,France,Le Castellet,2018-06-24 14:10:00,2018,5.791,43.253
Austrian Grand Prix,Austria,Spielberg,2018-07-01 13:10:00,2018,14.761,47.223
British Grand Prix,Great Britain,Silverstone,2018-07-08 13:10:00,2018,-1.017,52.072
German Grand Prix,Germany,Hockenheim,2018-07-22 13:10:00,2018,8.572,49.33
Hungarian Grand Prix,Hungary,Budapest,2018-07-29 13:10:00,2018,19.25,47.583
Belgian Grand Prix,Belgium,Spa-Francorchamps,2018-08-26 13:10:00,2018,5.971,50.436
Italian Grand Prix,Italy,Monza,2018-09-02 13:10:00,2018,9.29,45.621
Singapore Grand Prix,Singapore,Singapore,2018-09-16 12:10:00,2018,103.859,1.291
Russian Grand Prix,Russia,Sochi,2018-09-30 11:10:00,2018,39.96,43.407
Japanese Grand Prix,Japan,Suzuka,2018-10-07 05:10:00,2018,136.534,34.844
United States Grand Prix,United States,Austin,2018-10-21 18:10:00,2018,-97.633,30.135
Mexican Grand Prix,Mexico,Mexico City,2018-10-28 19:10:00,2018,-99.091,19.402
Brazilian Grand Prix,Brazil,São Paulo,2018-11-11 17:10:00,2018,-46.698,-23.702
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2018-11-25 13:10:00,2018,54.601,24.471
Australian Grand Prix,Australia,Melbourne,2019-03-17 05:10:00,2019,144.97,-37.846
Bahrain Grand Prix,Bahrain,Sakhir,2019-03-31 15:10:00,2019,50.512,26.031
Chinese Grand Prix,China,Shanghai,2019-04-14 06:10:00,2019,121.221,31.34
Azerbaijan Grand Prix,Azerbaijan,Baku,2019-04-28 12:10:00,2019,49.842,40.369
