EventName,Country,Location,Year,StartTime,lat,lon,temperature_2m_hm2,apparent_temperature_hm2,relative_humidity_2m_hm2,dew_point_2m_hm2,precipitation_hm2,rain_hm2,showers_hm2,snowfall_hm2,weather_code_hm2,cloud_cover_hm2,surface_pressure_hm2,wind_speed_10m_hm2,wind_gusts_10m_hm2,wind_direction_10m_hm2,temperature_2m_hm1,apparent_temperature_hm1,relative_humidity_2m_hm1,dew_point_2m_hm1,precipitation_hm1,rain_hm1,showers_hm1,snowfall_hm1,weather_code_hm1,cloud_cover_hm1,surface_pressure_hm1,wind_speed_10m_hm1,wind_gusts_10m_hm1,wind_direction_10m_hm1,temperature_2m_hp0,apparent_temperature_hp0,relative_humidity_2m_hp0,dew_point_2m_hp0,precipitation_hp0,rain_hp0,showers_hp0,snowfall_hp0,weather_code_hp0,cloud_cover_hp0,surface_pressure_hp0,wind_speed_10m_hp0,wind_gusts_10m_hp0,wind_direction_10m_hp0,temperature_2m_hp1,apparent_temperature_hp1,relative_humidity_2m_hp1,dew_point_2m_hp1,precipitation_hp1,rain_hp1,showers_hp1,snowfall_hp1,weather_code_hp1,cloud_cover_hp1,surface_pressure_hp1,wind_speed_10m_hp1,wind_gusts_10m_hp1,wind_direction_10m_hp1,temperature_2m_hp2,apparent_temperature_hp2,relative_humidity_2m_hp2,dew_point_2m_hp2,precipitation_hp2,rain_hp2,showers_hp2,snowfall_hp2,weather_code_hp2,cloud_cover_hp2,surface_pressure_hp2,wind_speed_10m_hp2,wind_gusts_10m_hp2,wind_direction_10m_hp2,precip_pre2h,precip_at_start,precip_post2h,precip_total,precip_max_hr,is_wet_start,track_wet_pre,rain_during,is_wet_broad,wet_hours_count,is_wet_sustained,transition_dry_to_wet,transition_wet_to_dry,temp_at_start,temp_swing,temp_trend,dewpoint_margin_start,dewpoint_margin_min,dewpoint_margin_trend,wind_gust_max,wind_gust_spike,volatility_precip,volatility_temp,volatility_score,condition_start
Australian Grand Prix,Australia,Melbourne,2018,2018-03-25 05:10:00+00:00,-37.846,144.97,21.5,17.9,49,10.3,0.0,0.0,0.0,0.0,1,20,1000.6,27.0,54.4,271,21.9,18.4,43,8.8,0.0,0.0,0.0,0.0,1,22,999.7,24.8,51.1,296,23.4,18.8,35,7.0,0.0,0.0,0.0,0.0,3,82,998.4,28.3,51.5,296,22.8,18.1,36,6.9,0.0,0.0,0.0,0.0,3,98,998.4,27.0,52.2,291,21.6,16.7,39,6.9,0.0,0.0,0.0,0.0,2,76,999.1,28.3,52.9,301,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,23.4,1.8999999999999986,0.1099999999999998,16.4,11.2,0.9800000000000013,54.4,27.319999999999997,0.0,0.826438140455775,0.826438140455775,Overcast
Bahrain Grand Prix,Bahrain,Sakhir,2018,2018-04-08 15:10:00+00:00,26.031,50.512,30.0,28.3,34,12.6,0.0,0.0,0.0,0.0,0,1,1007.8,16.9,33.5,66,28.8,27.2,38,12.9,0.0,0.0,0.0,0.0,0,2,1008.0,17.1,29.5,62,27.4,26.3,43,13.7,0.0,0.0,0.0,0.0,2,68,1008.5,15.3,27.4,49,26.4,26.2,53,15.9,0.0,0.0,0.0,0.0,0,15,1008.9,14.8,24.1,45,25.8,26.4,58,16.9,0.0,0.0,0.0,0.0,1,23,1009.9,12.8,22.7,50,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,27.4,4.199999999999999,-1.079999999999997,13.7,8.900000000000002,-2.2399999999999998,33.5,18.12,0.0,1.7239489551607963,1.7239489551607963,Partly cloudy
Chinese Grand Prix,China,Shanghai,2018,2018-04-15 06:10:00+00:00,31.34,121.221,18.0,15.6,32,0.9,0.0,0.0,0.0,0.0,0,4,1019.3,15.2,33.1,346,18.2,15.8,31,0.8,0.0,0.0,0.0,0.0,1,29,1018.7,15.2,34.2,353,18.3,15.6,32,1.5,0.0,0.0,0.0,0.0,0,7,1018.5,14.6,33.5,350,18.2,14.9,33,1.5,0.0,0.0,0.0,0.0,0,3,1017.9,14.0,31.7,348,17.9,14.3,33,1.4,0.0,0.0,0.0,0.0,0,0,1017.8,11.0,29.5,341,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,18.3,0.40000000000000213,-0.019999999999999022,16.8,16.5,-0.19000000000000172,34.2,20.200000000000003,0.0,0.16431676725155034,0.16431676725155034,Clear sky
Azerbaijan Grand Prix,Azerbaijan,Baku,2018,2018-04-29 12:10:00+00:00,40.369,49.842,16.9,10.5,52,6.8,0.0,0.0,0.0,0.0,3,81,1021.9,42.5,74.2,358,16.2,9.7,55,7.1,0.0,0.0,0.0,0.0,3,84,1021.6,41.4,73.1,360,15.6,8.8,58,7.4,0.0,0.0,0.0,0.0,3,87,1022.1,41.8,71.3,2,14.9,8.2,61,7.4,0.0,0.0,0.0,0.0,3,83,1021.8,40.7,72.0,2,13.9,7.7,64,7.2,0.0,0.0,0.0,0.0,3,87,1021.6,37.1,70.2,2,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,15.6,2.9999999999999982,-0.7299999999999986,8.2,6.7,-0.8399999999999991,74.2,33.5,0.0,1.1597413504743195,1.1597413504743195,Overcast
Spanish Grand Prix,Spain,Barcelona,2018,2018-05-13 13:10:00+00:00,41.569,2.259,16.0,14.7,53,6.4,0.1,0.1,0.0,0.0,51,18,1000.5,11.5,32.0,231,14.9,13.0,60,7.1,0.0,0.0,0.0,0.0,1,23,1001.1,17.3,32.8,192,14.9,13.0,62,7.8,2.6,2.6,0.0,0.0,63,80,1000.8,17.3,40.3,168,15.1,12.5,57,6.8,0.4,0.4,0.0,0.0,51,57,1000.6,12.9,40.0,153,15.2,13.3,61,7.7,1.0,1.0,0.0,0.0,55,54,1000.5,9.6,34.9,103,0.1,2.6,1.4,4.1,2.6,True,False,True,True,4,True,True,False,14.9,1.0999999999999996,-0.1400000000000003,7.1000000000000005,7.1000000000000005,-0.37000000000000105,40.3,26.58,1.0686440005914037,0.45497252664309296,5.7981925296001116,Moderate rain
Monaco Grand Prix,Monaco,Monaco,2018,2018-05-27 13:10:00+00:00,43.737,7.429,28.0,28.7,50,16.8,0.0,0.0,0.0,0.0,3,96,1016.1,18.5,58.3,97,26.3,27.6,66,19.5,0.0,0.0,0.0,0.0,3,84,1015.9,20.6,56.2,106,25.4,26.9,71,19.7,0.3,0.3,0.0,0.0,51,97,1016.0,16.5,55.4,79,25.9,28.1,65,18.8,0.0,0.0,0.0,0.0,3,100,1015.4,11.3,49.0,99,25.3,27.6,67,18.8,0.1,0.1,0.0,0.0,51,100,1015.2,6.6,34.2,61,0.0,0.3,0.1,0.4,0.3,True,False,False,True,2,True,True,False,25.4,2.6999999999999993,-0.5800000000000015,5.699999999999999,5.699999999999999,-0.91,58.3,43.599999999999994,0.13038404810405296,1.0940749517286283,1.7459951922488932,Light drizzle
Canadian Grand Prix,Canada,Montréal,2018,2018-06-10 18:10:00+00:00,45.506,-73.525,17.8,17.2,39,3.5,0.0,0.0,0.0,0.0,2,59,1019.0,7.6,24.5,25,18.4,18.2,38,3.8,0.0,0.0,0.0,0.0,2,52,1018.5,7.4,22.0,14,19.0,19.2,37,4.2,0.0,0.0,0.0,0.0,3,85,1017.9,5.8,22.3,7,19.5,19.0,36,4.0,0.0,0.0,0.0,0.0,3,100,1017.2,3.3,19.8,6,19.6,17.8,34,3.3,0.0,0.0,0.0,0.0,3,100,1016.6,1.6,15.1,27,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,19.0,1.8000000000000007,0.46999999999999775,14.8,14.3,0.48999999999999905,24.5,19.36,0.0,0.7602631123499288,0.7602631123499288,Overcast
French Grand Prix,France,Le Castellet,2018,2018-06-24 14:10:00+00:00,43.253,5.791,23.5,23.4,48,11.8,0.0,0.0,0.0,0.0,3,94,968.1,10.6,33.5,152,23.4,24.0,48,11.9,0.0,0.0,0.0,0.0,3,92,967.6,6.4,26.6,153,22.1,21.9,54,12.4,0.0,0.0,0.0,0.0,3,84,967.5,6.6,19.8,151,22.5,22.6,53,12.6,0.0,0.0,0.0,0.0,3,88,967.6,4.6,20.9,129,22.0,22.5,54,12.2,0.0,0.0,0.0,0.0,2,64,967.3,1.1,19.8,72,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,22.1,1.5,-0.38999999999999974,9.700000000000001,9.700000000000001,-0.5400000000000005,33.5,27.64,0.0,0.7106335201775942,0.7106335201775942,Overcast
Austrian Grand Prix,Austria,Spielberg,2018,2018-07-01 13:10:00+00:00,47.223,14.761,18.2,17.4,56,9.3,0.0,0.0,0.0,0.0,2,74,935.4,4.2,17.6,110,17.4,15.9,64,10.4,0.0,0.0,0.0,0.0,2,79,935.6,12.3,16.9,130,18.4,17.9,60,10.6,0.0,0.0,0.0,0.0,1,23,935.6,8.7,35.6,114,19.3,19.2,56,10.4,0.0,0.0,0.0,0.0,1,39,935.4,5.8,27.0,120,19.1,18.1,56,10.2,0.0,0.0,0.0,0.0,3,97,935.5,7.4,21.6,129,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,18.4,1.9000000000000021,0.36999999999999944,7.799999999999999,6.999999999999998,0.1900000000000001,35.6,27.92,0.0,0.7596051605933188,0.7596051605933188,Mainly clear
British Grand Prix,Great Britain,Silverstone,2018,2018-07-08 13:10:00+00:00,52.072,-1.017,25.7,25.9,44,12.5,0.0,0.0,0.0,0.0,0,0,1008.6,13.3,30.6,341,26.4,27.1,43,12.7,0.0,0.0,0.0,0.0,0,3,1008.4,12.7,31.0,352,27.4,27.8,39,12.1,0.0,0.0,0.0,0.0,1,29,1008.3,12.8,29.5,349,28.3,27.9,35,11.2,0.0,0.0,0.0,0.0,1,48,1007.9,13.6,29.9,343,29.0,27.5,30,9.9,0.0,0.0,0.0,0.0,1,49,1007.7,13.6,29.9,349,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,27.4,3.3000000000000007,0.8500000000000005,15.299999999999999,13.2,1.519999999999999,31.0,17.8,0.0,1.3464768843169947,1.3464768843169947,Mainly clear
German Grand Prix,Germany,Hockenheim,2018,2018-07-22 13:10:00+00:00,49.33,8.572,23.6,24.7,65,16.6,0.0,0.0,0.0,0.0,2,53,1001.8,9.2,29.5,315,25.6,26.3,55,16.0,0.0,0.0,0.0,0.0,2,67,1001.9,9.7,32.0,345,23.2,23.7,69,17.4,1.5,1.5,0.0,0.0,61,72,1002.0,14.6,33.5,308,24.8,25.4,60,16.4,0.2,0.2,0.0,0.0,51,95,1001.9,10.7,33.5,310,24.0,25.0,63,16.6,0.1,0.1,0.0,0.0,51,75,1001.9,8.9,31.7,21,0.0,1.5,0.30000000000000004,1.8,1.5,True,False,True,True,3,True,True,False,23.2,2.400000000000002,-1.297267614824132e-15,5.800000000000001,5.800000000000001,-0.04000000000000031,33.5,22.88,0.6426507605223852,0.9633275663033842,4.17658136891531,Slight rain
Hungarian Grand Prix,Hungary,Budapest,2018,2018-07-29 13:10:00+00:00,47.583,19.25,33.2,35.9,36,16.1,0.0,0.0,0.0,0.0,0,17,986.6,7.2,23.0,333,32.5,34.8,39,16.9,0.0,0.0,0.0,0.0,1,30,987.0,7.7,25.6,323,33.4,35.0,36,16.5,0.0,0.0,0.0,0.0,1,37,986.5,10.7,27.0,318,33.3,33.3,33,14.9,0.0,0.0,0.0,0.0,1,42,986.1,13.8,31.0,332,32.9,31.6,33,14.6,0.0,0.0,0.0,0.0,2,66,986.2,19.1,36.7,349,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,33.4,0.8999999999999986,0.019999999999997724,16.9,15.600000000000001,0.5199999999999986,36.7,25.0,0.0,0.36469165057620906,0.36469165057620906,Mainly clear
Belgian Grand Prix,Belgium,Spa-Francorchamps,2018,2018-08-26 13:10:00+00:00,50.436,5.971,15.7,12.2,50,5.2,0.0,0.0,0.0,0.0,2,53,972.2,16.4,34.6,206,16.5,13.0,49,5.8,0.0,0.0,0.0,0.0,3,83,972.0,16.4,34.9,206,16.8,13.3,46,5.2,0.0,0.0,0.0,0.0,3,96,971.5,16.0,33.5,211,17.0,12.9,42,3.9,0.0,0.0,0.0,0.0,3,99,970.9,18.5,37.1,217,16.8,12.5,42,3.9,0.0,0.0,0.0,0.0,3,100,970.7,19.9,37.8,224,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,16.8,1.3000000000000007,0.2699999999999991,11.600000000000001,10.5,0.7200000000000001,37.8,20.36,0.0,0.5128352561983238,0.5128352561983238,Overcast
Italian Grand Prix,Italy,Monza,2018,2018-09-02 13:10:00+00:00,45.621,9.29,18.5,20.1,86,16.0,0.8,0.8,0.0,0.0,53,100,995.3,3.0,13.3,76,19.1,20.8,81,15.8,0.4,0.4,0.0,0.0,51,100,995.4,2.5,10.4,98,19.8,21.2,77,15.7,0.1,0.1,0.0,0.0,51,99,994.9,3.3,12.2,13,20.0,21.3,75,15.4,0.0,0.0,0.0,0.0,3,99,994.8,3.2,12.6,333,20.0,20.9,73,15.0,0.0,0.0,0.0,0.0,3,90,994.8,5.9,13.3,76,1.2000000000000002,0.1,0.0,1.3000000000000003,0.8,False,True,False,True,3,True,False,True,19.8,1.5,0.38999999999999846,4.100000000000001,2.5,0.6299999999999999,13.3,9.72,0.3435112807463534,0.6610597552415363,2.378616158973303,Light drizzle
Singapore Grand Prix,Singapore,Singapore,2018,2018-09-16 12:10:00+00:00,1.291,103.859,28.7,31.2,69,22.5,0.0,0.0,0.0,0.0,2,69,1004.7,18.1,29.5,186,27.8,31.4,78,23.6,0.0,0.0,0.0,0.0,1,44,1005.3,15.0,26.3,190,28.1,29.9,66,21.2,0.0,0.0,0.0,0.0,1,41,1005.6,18.1,20.5,185,27.2,29.6,68,20.9,0.0,0.0,0.0,0.0,3,84,1006.2,13.6,25.2,158,26.6,29.7,75,21.9,0.0,0.0,0.0,0.0,3,87,1006.9,12.1,18.7,120,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,28.1,2.099999999999998,-0.48000000000000376,6.900000000000002,4.199999999999999,-0.08999999999999948,29.5,14.120000000000001,0.0,0.8105553651663774,0.8105553651663774,Mainly clear
Russian Grand Prix,Russia,Sochi,2018,2018-09-30 11:10:00+00:00,43.407,39.96,23.0,23.4,65,16.0,0.0,0.0,0.0,0.0,3,89,1017.6,11.0,24.8,319,22.9,23.1,66,16.3,0.0,0.0,0.0,0.0,3,87,1017.3,13.3,29.5,311,22.9,23.3,66,16.2,0.0,0.0,0.0,0.0,2,73,1017.0,11.6,31.0,330,23.9,24.1,56,14.6,0.0,0.0,0.0,0.0,2,50,1017.2,9.1,32.0,351,23.2,22.0,52,12.8,0.0,0.0,0.0,0.0,1,38,1017.1,13.9,27.0,37,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,22.9,1.0,0.13999999999999965,6.699999999999999,6.599999999999998,0.9499999999999994,32.0,20.22,0.0,0.42071367935925247,0.42071367935925247,Partly cloudy
Japanese Grand Prix,Japan,Suzuka,2018,2018-10-07 05:10:00+00:00,34.844,136.534,26.5,27.8,60,18.2,0.0,0.0,0.0,0.0,0,5,1006.4,17.1,37.1,305,26.5,27.6,59,17.8,0.0,0.0,0.0,0.0,0,1,1005.9,16.8,36.4,305,26.2,26.7,58,17.2,0.0,0.0,0.0,0.0,0,2,1005.6,17.8,36.7,312,25.6,25.5,59,17.0,0.0,0.0,0.0,0.0,0,1,1005.5,18.2,36.7,309,24.7,25.0,63,17.2,0.0,0.0,0.0,0.0,0,1,1005.8,15.6,36.4,299,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,26.2,1.8000000000000007,-0.4500000000000007,9.0,7.5,-0.17000000000000046,37.1,20.0,0.0,0.7648529270389178,0.7648529270389178,Clear sky
United States Grand Prix,United States,Austin,2018,2018-10-21 18:10:00+00:00,30.135,-97.633,17.9,14.9,55,8.7,0.0,0.0,0.0,0.0,3,97,1007.1,18.0,33.1,37,18.8,15.9,53,8.9,0.0,0.0,0.0,0.0,2,50,1006.3,17.3,33.1,43,20.0,18.0,48,8.7,0.0,0.0,0.0,0.0,1,32,1005.8,17.9,33.5,40,20.7,18.9,45,8.4,0.0,0.0,0.0,0.0,2,64,1004.6,17.1,33.5,39,21.0,18.9,44,8.3,0.0,0.0,0.0,0.0,3,89,1003.7,16.8,32.4,35,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,20.0,3.1000000000000014,0.8100000000000006,11.3,9.2,0.9399999999999994,33.5,16.080000000000002,0.0,1.3065221008463654,1.3065221008463654,Mainly clear
Mexican Grand Prix,Mexico,Mexico City,2018,2018-10-28 19:10:00+00:00,19.402,-99.091,17.9,17.3,63,10.8,0.1,0.1,0.0,0.0,51,80,790.5,5.9,16.2,14,19.4,19.5,54,9.9,0.1,0.1,0.0,0.0,51,73,789.9,1.5,15.8,14,19.9,19.8,51,9.4,0.0,0.0,0.0,0.0,3,92,789.2,2.3,11.5,231,19.6,18.9,52,9.6,0.0,0.0,0.0,0.0,3,92,788.4,4.8,14.4,243,19.1,18.4,58,10.6,0.0,0.0,0.0,0.0,2,79,788.1,6.8,17.6,245,0.2,0.0,0.0,0.2,0.1,False,False,False,False,2,True,False,False,19.9,2.0,0.2600000000000009,10.499999999999998,7.099999999999998,0.3300000000000014,17.6,13.340000000000002,0.05477225575051662,0.7726577508832747,1.0465190296358577,Overcast
Brazilian Grand Prix,Brazil,São Paulo,2018,2018-11-11 17:10:00+00:00,-23.702,-46.698,25.1,29.8,66,18.4,0.1,0.1,0.0,0.0,51,32,929.8,2.2,21.2,180,24.0,26.3,75,19.2,0.3,0.3,0.0,0.0,51,61,929.3,15.4,29.5,147,23.5,25.1,79,19.6,0.3,0.3,0.0,0.0,51,64,928.9,16.8,31.7,149,22.1,23.1,88,20.1,0.0,0.0,0.0,0.0,2,64,928.5,20.4,35.6,138,22.1,23.1,88,20.0,0.0,0.0,0.0,0.0,2,68,928.1,19.2,35.6,130,0.4,0.3,0.0,0.7,0.3,True,True,False,True,3,True,False,False,23.5,3.0,-0.7900000000000003,3.8999999999999986,2.0,-1.2000000000000006,35.6,20.8,0.151657508881031,1.2876334882255895,2.0459210326307447,Light drizzle
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2018,2018-11-25 13:10:00+00:00,24.471,54.601,32.2,30.8,37,15.8,0.0,0.0,0.0,0.0,1,41,1012.5,23.3,40.3,197,32.8,31.6,37,16.2,0.0,0.0,0.0,0.0,1,42,1011.8,23.0,36.4,205,32.4,32.1,38,16.4,0.0,0.0,0.0,0.0,1,36,1012.3,17.2,33.8,206,30.6,31.5,42,16.5,0.0,0.0,0.0,0.0,1,45,1013.0,9.4,24.5,277,25.1,25.1,75,20.5,0.3,0.3,0.0,0.0,51,59,1014.5,28.6,65.2,5,0.0,0.0,0.3,0.3,0.3,False,False,True,True,1,False,True,False,32.4,7.699999999999996,-1.6400000000000001,16.0,4.600000000000001,-2.6100000000000008,65.2,44.900000000000006,0.1341640786499874,3.1971862629505954,3.8680066562005324,Mainly clear
Australian Grand Prix,Australia,Melbourne,2019,2019-03-17 05:10:00+00:00,-37.846,144.97,24.2,25.3,56,14.8,0.0,0.0,0.0,0.0,0,1,1016.5,13.9,34.2,197,25.0,25.7,50,13.8,0.0,0.0,0.0,0.0,0,7,1015.8,12.9,33.1,203,24.4,24.5,53,14.1,0.0,0.0,0.0,0.0,0,1,1015.4,13.8,31.7,200,23.3,22.7,59,14.9,0.0,0.0,0.0,0.0,0,0,1015.0,15.2,33.1,202,22.9,23.5,70,17.0,0.0,0.0,0.0,0.0,0,1,1015.0,13.0,33.1,194,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,24.4,2.1000000000000014,-0.430000000000001,10.299999999999999,5.899999999999999,-0.9799999999999996,34.2,20.440000000000005,0.0,0.8502940667792526,0.8502940667792526,Clear sky
Bahrain Grand Prix,Bahrain,Sakhir,2019,2019-03-31 15:10:00+00:00,26.031,50.512,28.4,25.3,46,15.6,0.0,0.0,0.0,0.0,3,87,1004.4,34.6,56.9,86,27.3,24.7,50,16.0,0.0,0.0,0.0,0.0,3,90,1003.7,32.1,52.2,86,25.9,23.0,54,15.9,0.0,0.0,0.0,0.0,3,100,1003.3,33.9,51.1,93,25.3,22.3,55,15.5,0.0,0.0,0.0,0.0,3,100,1004.0,33.6,50.4,100,25.5,22.2,53,15.1,0.0,0.0,0.0,0.0,3,100,1004.6,33.8,49.3,107,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,25.9,3.099999999999998,-0.7800000000000008,9.999999999999998,9.8,-0.6300000000000003,56.9,23.299999999999997,0.0,1.327403480483609,1.327403480483609,Overcast
Chinese Grand Prix,China,Shanghai,2019,2019-04-14 06:10:00+00:00,31.34,121.221,18.5,16.3,66,12.1,0.0,0.0,0.0,0.0,3,100,1018.9,19.7,40.7,8,18.6,15.8,60,10.6,0.0,0.0,0.0,0.0,3,100,1018.9,20.6,42.1,16,18.7,15.6,53,9.1,0.0,0.0,0.0,0.0,3,100,1018.5,19.8,41.0,19,17.9,14.2,50,7.4,0.0,0.0,0.0,0.0,3,99,1018.5,20.4,40.3,21,16.9,13.1,48,5.8,0.0,0.0,0.0,0.0,3,100,1018.7,18.9,40.0,21,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,18.7,1.8000000000000007,-0.390000000000001,9.6,6.4,1.1899999999999995,42.1,22.22,0.0,0.7496665925596533,0.7496665925596533,Overcast
Azerbaijan Grand Prix,Azerbaijan,Baku,2019,2019-04-28 12:10:00+00:00,40.369,49.842,17.5,15.9,75,13.0,0.0,0.0,0.0,0.0,0,0,1014.0,26.8,50.0,187,17.5,15.8,72,12.5,0.0,0.0,0.0,0.0,0,0,1013.5,24.3,47.5,186,17.3,15.4,72,12.2,0.0,0.0,0.0,0.0,0,0,1013.0,20.6,43.6,192,16.6,14.0,71,11.3,0.0,0.0,0.0,0.0,0,0,1012.7,20.4,37.4,194,15.6,13.0,75,11.1,0.0,0.0,0.0,0.0,1,28,1012.9,19.6,36.7,200,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,False,False,False,17.3,1.9000000000000004,-0.470000000000001,5.100000000000001,4.5,0.02999999999999983,50.0,27.660000000000004,0.0,0.8154753215150046,0.8154753215150046,Clear sky
