Driver,DriverNumber,Team,EventName,Year,Location,RaceID,FromLap,ToLap,PositionBefore,PositionAfter,PositionChange
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,1,2,17.0,17.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,2,3,17.0,17.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,3,4,17.0,17.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,4,5,17.0,17.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,5,6,17.0,16.0,1.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,6,7,16.0,16.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,7,8,16.0,16.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,8,9,16.0,16.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,9,10,16.0,16.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,10,11,16.0,16.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,11,12,16.0,16.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,12,13,16.0,16.0,0.0
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,13,14,16.0,18.0,-2.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,1,2,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,2,3,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,3,4,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,4,5,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,5,6,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,6,7,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,7,8,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,8,9,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,9,10,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,10,11,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,11,12,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,12,13,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,13,14,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,14,15,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,15,16,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,16,17,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,17,18,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,18,19,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,19,20,12.0,12.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,20,21,12.0,11.0,1.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,21,22,11.0,10.0,1.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,22,23,10.0,9.0,1.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,23,24,9.0,13.0,-4.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,24,25,13.0,11.0,2.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,25,26,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,26,27,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,27,28,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,28,29,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,29,30,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,30,31,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,31,32,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,32,33,11.0,11.0,0.0
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,Australian Grand Prix 2018,33,34,11.0,11.0,0.0
