Driver,DriverNumber,Team,EventName,Year,Location,GridPosition,FinishingPosition,BestPosition,WorstPosition,AvgPosition,PositionStdDev,PositionsGained,LapsLed,PitStops,LapsCompleted,DNF
GAS,10,Racing Bulls,Australian Grand Prix,2018,Melbourne,17.0,16.0,16.0,17.0,16.444444444444443,0.5270462766947299,1.0,0,0,13,True
PER,11,Aston Martin,Australian Grand Prix,2018,Melbourne,12.0,11.0,10.0,12.0,11.340909090909092,0.5257633130133581,1.0,0,0,57,False
ALO,14,McLaren,Australian Grand Prix,2018,Melbourne,10.0,5.0,5.0,10.0,6.954545454545454,2.4204030555620704,5.0,0,0,57,False
LEC,16,Kick Sauber,Australian Grand Prix,2018,Melbourne,18.0,13.0,13.0,18.0,14.452380952380953,1.940610677739141,5.0,0,0,57,False
STR,18,Williams,Australian Grand Prix,2018,Melbourne,14.0,14.0,14.0,15.0,14.318181818181818,0.4711552981879445,0.0,0,0,57,False
VAN,2,McLaren,Australian Grand Prix,2018,Melbourne,11.0,9.0,8.0,11.0,9.627906976744185,1.0695627903817586,2.0,0,0,57,False
MAG,20,Haas,Australian Grand Prix,2018,Melbourne,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0,0,21,True
HUL,27,Alpine,Australian Grand Prix,2018,Melbourne,7.0,7.0,6.0,8.0,7.0227272727272725,0.2631328573824438,0.0,0,0,57,False
HAR,28,Racing Bulls,Australian Grand Prix,2018,Melbourne,,15.0,15.0,20.0,15.975,1.4586171884919301,,0,0,56,False
RIC,3,Red Bull Racing,Australian Grand Prix,2018,Melbourne,8.0,4.0,4.0,8.0,5.0227272727272725,1.3722945707851293,4.0,0,0,57,False
OCO,31,Aston Martin,Australian Grand Prix,2018,Melbourne,13.0,12.0,12.0,14.0,12.659090909090908,0.8877246016009279,1.0,0,0,57,False
VER,33,Red Bull Racing,Australian Grand Prix,2018,Melbourne,5.0,6.0,5.0,8.0,6.333333333333333,1.0040568117894588,-1.0,0,0,57,False
SIR,35,Williams,Australian Grand Prix,2018,Melbourne,19.0,19.0,19.0,19.0,19.0,0.0,0.0,0,0,4,True
HAM,44,Mercedes,Australian Grand Prix,2018,Melbourne,1.0,2.0,1.0,2.0,1.6590909090909092,0.4794949774542017,-1.0,15,0,57,False
VET,5,Ferrari,Australian Grand Prix,2018,Melbourne,3.0,1.0,1.0,3.0,1.6304347826086956,0.9275701986534237,2.0,31,0,57,False
