Year,EventName,Country,Location,StartTime,lat,lon,wet_at_start_confirmed
2018,Australian Grand Prix,Australia,Melbourne,2018-03-25 05:10:00+00:00,-37.846,144.97,False
2018,Bahrain Grand Prix,Bahrain,Sakhir,2018-04-08 15:10:00+00:00,26.031,50.512,False
2018,Chinese Grand Prix,China,Shanghai,2018-04-15 06:10:00+00:00,31.34,121.221,False
2018,Azerbaijan Grand Prix,Azerbaijan,Baku,2018-04-29 12:10:00+00:00,40.369,49.842,False
2018,Spanish Grand Prix,Spain,Barcelona,2018-05-13 13:10:00+00:00,41.569,2.259,False
2018,Monaco Grand Prix,Monaco,Monaco,2018-05-27 13:10:00+00:00,43.737,7.429,False
2018,Canadian Grand Prix,Canada,Montréal,2018-06-10 18:10:00+00:00,45.506,-73.525,False
2018,French Grand Prix,France,Le Castellet,2018-06-24 14:10:00+00:00,43.253,5.791,False
2018,Austrian Grand Prix,Austria,Spielberg,2018-07-01 13:10:00+00:00,47.223,14.761,False
2018,British Grand Prix,Great Britain,Silverstone,2018-07-08 13:10:00+00:00,52.072,-1.017,False
2018,German Grand Prix,Germany,Hockenheim,2018-07-22 13:10:00+00:00,49.33,8.572,False
2018,Hungarian Grand Prix,Hungary,Budapest,2018-07-29 13:10:00+00:00,47.583,19.25,False
2018,Belgian Grand Prix,Belgium,Spa-Francorchamps,2018-08-26 13:10:00+00:00,50.436,5.971,False
2018,Italian Grand Prix,Italy,Monza,2018-09-02 13:10:00+00:00,45.621,9.29,False
2018,Singapore Grand Prix,Singapore,Singapore,2018-09-16 12:10:00+00:00,1.291,103.859,False
2018,Russian Grand Prix,Russia,Sochi,2018-09-30 11:10:00+00:00,43.407,39.96,False
2018,Japanese Grand Prix,Japan,Suzuka,2018-10-07 05:10:00+00:00,34.844,136.534,False
2018,United States Grand Prix,United States,Austin,2018-10-21 18:10:00+00:00,30.135,-97.633,False
2018,Mexican Grand Prix,Mexico,Mexico City,2018-10-28 19:10:00+00:00,19.402,-99.091,False
2018,Brazilian Grand Prix,Brazil,São Paulo,2018-11-11 17:10:00+00:00,-23.702,-46.698,False
2018,Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2018-11-25 13:10:00+00:00,24.471,54.601,False
2019,Australian Grand Prix,Australia,Melbourne,2019-03-17 05:10:00+00:00,-37.846,144.97,False
2019,Bahrain Grand Prix,Bahrain,Sakhir,2019-03-31 15:10:00+00:00,26.031,50.512,False
2019,Chinese Grand Prix,China,Shanghai,2019-04-14 06:10:00+00:00,31.34,121.221,False
2019,Azerbaijan Grand Prix,Azerbaijan,Baku,2019-04-28 12:10:00+00:00,40.369,49.842,False
2019,Spanish Grand Prix,Spain,Barcelona,2019-05-12 13:10:00+00:00,41.569,2.259,False
2019,Monaco Grand Prix,Monaco,Monaco,2019-05-26 13:10:00+00:00,43.737,7.429,False
2019,Canadian Grand Prix,Canada,Montréal,2019-06-09 18:10:00+00:00,45.506,-73.525,False
2019,French Grand Prix,France,Le Castellet,2019-06-23 13:10:00+00:00,43.253,5.791,False
2019,Austrian Grand Prix,Austria,Spielberg,2019-06-30 13:10:00+00:00,47.223,14.761,False
2019,British Grand Prix,Great Britain,Silverstone,2019-07-14 13:10:00+00:00,52.072,-1.017,False
2019,German Grand Prix,Germany,Hockenheim,2019-07-28 13:10:00+00:00,49.33,8.572,True
2019,Hungarian Grand Prix,Hungary,Budapest,2019-08-04 13:10:00+00:00,47.583,19.25,False
2019,Belgian Grand Prix,Belgium,Spa-Francorchamps,2019-09-01 13:10:00+00:00,50.436,5.971,False
2019,Italian Grand Prix,Italy,Monza,2019-09-08 13:10:00+00:00,45.621,9.29,False
2019,Singapore Grand Prix,Singapore,Singapore,2019-09-22 12:10:00+00:00,1.291,103.859,False
2019,Russian Grand Prix,Russia,Sochi,2019-09-29 11:10:00+00:00,43.407,39.96,False
2019,Japanese Grand Prix,Japan,Suzuka,2019-10-13 05:10:00+00:00,34.844,136.534,False
2019,Mexican Grand Prix,Mexico,Mexico City,2019-10-27 19:10:00+00:00,19.402,-99.091,False
2019,United States Grand Prix,United States,Austin,2019-11-03 19:10:00+00:00,30.135,-97.633,False
2019,Brazilian Grand Prix,Brazil,São Paulo,2019-11-17 17:10:00+00:00,-23.702,-46.698,False
2019,Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2019-12-01 13:10:00+00:00,24.471,54.601,False
2020,Austrian Grand Prix,Austria,Spielberg,2020-07-05 13:10:00+00:00,47.223,14.761,False
2020,Styrian Grand Prix,Austria,Spielberg,2020-07-12 13:10:00+00:00,47.223,14.761,False
2020,Hungarian Grand Prix,Hungary,Budapest,2020-07-19 13:10:00+00:00,47.583,19.25,True
2020,British Grand Prix,Great Britain,Silverstone,2020-08-02 13:10:00+00:00,52.072,-1.017,False
2020,70th Anniversary Grand Prix,Great Britain,Silverstone,2020-08-09 13:10:00+00:00,52.072,-1.017,False
2020,Spanish Grand Prix,Spain,Barcelona,2020-08-16 13:10:00+00:00,41.569,2.259,False
2020,Belgian Grand Prix,Belgium,Spa-Francorchamps,2020-08-30 13:10:00+00:00,50.436,5.971,False
2020,Italian Grand Prix,Italy,Monza,2020-09-06 13:10:00+00:00,45.621,9.29,False
2020,Tuscan Grand Prix,Italy,Mugello,2020-09-13 13:10:00+00:00,43.998,11.372,False
2020,Russian Grand Prix,Russia,Sochi,2020-09-27 11:10:00+00:00,43.407,39.96,False
2020,Eifel Grand Prix,Germany,Nürburgring,2020-10-11 12:10:00+00:00,50.334,6.943,False
2020,Portuguese Grand Prix,Portugal,Portimão,2020-10-25 13:10:00+00:00,37.232,-8.628,False
2020,Emilia Romagna Grand Prix,Italy,Imola,2020-11-01 12:10:00+00:00,44.341,11.713,False
2020,Turkish Grand Prix,Turkey,Istanbul,2020-11-15 10:10:00+00:00,40.958,29.412,True
2020,Bahrain Grand Prix,Bahrain,Sakhir,2020-11-29 14:10:00+00:00,26.031,50.512,False
2020,Sakhir Grand Prix,Bahrain,Sakhir,2020-12-06 17:10:00+00:00,26.031,50.512,False
2020,Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2020-12-13 13:10:00+00:00,24.471,54.601,False
2021,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-28 15:00:00+00:00,26.031,50.512,False
2021,Emilia Romagna Grand Prix,Italy,Imola,2021-04-18 13:00:00+00:00,44.341,11.713,True
